source_id,short_name,domain,environment_id,element,node_type,region,environment_count,current_scientific_risk,source_coverage_status,source_transferability_established
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0005,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,12,MEDIUM_HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0006,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,6,MEDIUM_HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0007,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,24,MEDIUM_HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0008,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,42,MEDIUM_HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0013,B,HEXAGONAL_EDGE_COMPLETION_SEED,SEED_EDGE,15,HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0014,B,HEXAGONAL_EDGE_COMPLETION_SEED,SEED_EDGE,15,HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0015,B,PARENT_HBN,PARENT_HBN_BULK_LIKE,810,MEDIUM,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0016,B,PARENT_HBN,PARENT_SEED_ATTACHMENT,30,MEDIUM,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0017,H,ANNULUS_INNER_PASSIVANT_H,EDGE_PASSIVANT,12,MEDIUM_HIGH,NOT_ESTABLISHED,False
GHORAI_2025_FUNCTIONALIZED_HBN_NANOPORE,Ghorai 2025,PARENT_HBN_BULK_LIKE,ENV_0018,H,ANNULUS_INNER_PASSIVANT_H,EDGE_PASSIVANT,12,MEDIUM_HIGH,NOT_ESTABLISHED,False
