frame,cluster,type,recommended_role,n_pyr_atoms,n_water_molecules,n_total_atoms,calculation_level,xyz_file,note
0,PYR2,monomer,site_energy,26,25,126,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
0,PYR3,monomer,site_energy,26,19,102,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
0,PYR4,monomer,site_energy,26,22,114,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
0,PYR5,monomer,site_energy,26,30,146,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
1,PYR2,monomer,site_energy,26,42,194,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
1,PYR3,monomer,site_energy,26,40,186,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
1,PYR4,monomer,site_energy,26,30,146,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
1,PYR5,monomer,site_energy,26,45,206,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
2,PYR2,monomer,site_energy,26,35,166,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
2,PYR3,monomer,site_energy,26,45,206,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
2,PYR4,monomer,site_energy,26,39,182,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
2,PYR5,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
3,PYR2,monomer,site_energy,26,42,194,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
3,PYR3,monomer,site_energy,26,42,194,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
3,PYR4,monomer,site_energy,26,38,178,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
3,PYR5,monomer,site_energy,26,44,202,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
4,PYR2,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
4,PYR3,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
4,PYR4,monomer,site_energy,26,39,182,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
4,PYR5,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
5,PYR2,monomer,site_energy,26,36,170,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
5,PYR3,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
5,PYR4,monomer,site_energy,26,45,206,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
5,PYR5,monomer,site_energy,26,47,214,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
