time_ps,PYR2,PYR3,PYR4,PYR5,J23,J34,J45
0.0,3.755,3.7775,3.7775,3.7775,0.00237,0.017,0.033
0.01,3.7534743578138765,3.776821174155959,3.777859954091695,3.773889638905228,0.0020522233883100553,0.016750039901757222,0.03429747747352312
0.02,3.7529814821671716,3.779524272088458,3.7814946443070268,3.7740496062509976,0.002035032783817756,0.015884187071628364,0.03586341967829771
0.03,3.7550664502512614,3.7783574805512803,3.786264622573403,3.774527495396086,0.002247496143884237,0.016076156320029122,0.03577490330918781
0.04,3.7553623997780523,3.7770805107979024,3.7820727240326564,3.7735334749629064,0.002170804400988235,0.016149418555604565,0.035071995410042724
0.05,3.7567641093957285,3.7760365008305437,3.7812298097987376,3.7761601764124855,0.002104846759302522,0.016186785221343796,0.036423345747223466
0.06,3.757568210147695,3.776062290110922,3.781274947338189,3.7755361522695186,0.002143650045378341,0.017187024670199457,0.03687687309388302
0.07,3.7564612617526283,3.776636835228047,3.7818947730853334,3.7756536214740017,0.0022106561827023303,0.016417299684561817,0.03574326530031259
0.08,3.7572259140145006,3.77607172819811,3.7837570448765114,3.772863610384185,0.002553459950908969,0.01726753874863223,0.0347164485884736
0.09,3.7566290312285537,3.777086202788137,3.781104501806609,3.770816088394784,0.002402307660979083,0.018138316834266126,0.03586908396575278
0.1,3.7560523224852593,3.777962175699689,3.781516875239308,3.7706280050130068,0.0023872214700340444,0.016670379838813195,0.03521162422666842
0.11,3.7561508730881177,3.780704854062491,3.7786557966149266,3.768342680049037,0.0025072627677037067,0.016353188562428032,0.033707657079703024
0.12,3.7537411162485337,3.7792760932907776,3.7839511675667534,3.773136666028532,0.002562821502270534,0.01687885877583495,0.03508738333182118
0.13,3.75564133554399,3.780781677707935,3.7787548609361545,3.7709005106169693,0.0023627055705687508,0.016707321582187507,0.03569242856138994
0.14,3.7545749539957516,3.780545066526423,3.773199864585958,3.770405530280949,0.002157348630601582,0.015568519737548634,0.03690025910171923
0.15,3.756138520943588,3.781821183597151,3.77016794123755,3.7722562282546312,0.0021599278761857657,0.01547200387001619,0.03723091928574695
0.16,3.7562932592748544,3.7826570861590416,3.7695556909327097,3.772404484416242,0.0023384821648964296,0.016077205260596528,0.035702789314768536
0.17,3.7585932272676326,3.778807468401066,3.770678599002925,3.774248165029395,0.001971433275161973,0.01702143996839721,0.03542825322720897
0.18,3.75740003239314,3.779597653308313,3.772610375338624,3.7741155566131472,0.0022202058306159114,0.01680562951378973,0.03576635385011295
0.19,3.7568020622948572,3.7771840829836476,3.773178394256279,3.7740797466603477,0.0023454436919840343,0.017738466179157725,0.034922438552547064
0.2,3.7572351570934543,3.7784552020641047,3.7746318443354823,3.7714853272749114,0.0022617063944591516,0.01829816368062106,0.033691454231687366
0.21,3.753721295980122,3.779179123907584,3.7757929471403875,3.774300775526471,0.0024757064755810214,0.017709385503578524,0.03330975552198321
0.22,3.755060663067752,3.778928369705471,3.770930052968736,3.7772140053429375,0.0027785986323441555,0.018060105879794425,0.03413095366879941
