environment_id,count,example_node,element,node_type,region,total_degree,environment_signature,critical_center_count_in_region,scientific_risk,risk_score,risk_basis,lele_2022_reaxff_status,lele_2022_reaxff_basis,fixed_topology_status,fixed_topology_basis,QM_reference_status,QM_reference_basis,force_field_assignment_authorized
ENV_0001,15,BR4:UPPER:00:4,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=B|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_OUTER_BOUNDARY:1,BRIDGE_PASSIVANT_H:1",120,HIGH,4,Novel four-atom B-N-B-N bridge and attachment environment.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,Lele contains B/N/H reactive records but no direct R2 bridge validation.,FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0002,15,BR4:LOWER:00:1,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=B|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,BRIDGE_PASSIVANT_H:1,HEXAGONAL_EDGE_COMPLETION_SEED:1",120,HIGH,4,Novel four-atom B-N-B-N bridge and attachment environment.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,Lele contains B/N/H reactive records but no direct R2 bridge validation.,FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0003,30,BR4:LOWER:00:3,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=B|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:2,BRIDGE_PASSIVANT_H:1",120,HIGH,4,Novel four-atom B-N-B-N bridge and attachment environment.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,Lele contains B/N/H reactive records but no direct R2 bridge validation.,FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0004,12,A:LOWER:-2:-4,B,ANNULUS_INNER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2",84,HIGH,4,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0005,12,A:LOWER:-8:-2,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2",0,MEDIUM_HIGH,3,Reconstructed annulus environment outside ordinary bulk h-BN.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0006,6,A:LOWER:-8:0,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1",0,MEDIUM_HIGH,3,Reconstructed annulus environment outside ordinary bulk h-BN.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0007,24,A:LOWER:-11:-5,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2",0,MEDIUM_HIGH,3,Reconstructed annulus environment outside ordinary bulk h-BN.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0008,42,A:LOWER:-11:-1,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3,0,MEDIUM_HIGH,3,Reconstructed annulus environment outside ordinary bulk h-BN.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0009,6,A:UPPER:-13:-5,B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1,ANNULUS_OUTER_PASSIVANT_H:1",84,HIGH,4,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
ENV_0010,9,A:UPPER:-10:-6,B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1",84,HIGH,4,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
