source_id,model_name,domain,preliminary_coverage,evidence_level,supplementary_parameter_audit_completed,transferability_to_R2_established
SRC_0001,RAJAN_HBN_CLASSICAL_FF,B_N_BONDED_BULK,CANDIDATE,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,B_N_BONDED_CURVED_BNNT,UNCONFIRMED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,B_H_BONDED,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,N_H_BONDED,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,EDGE_ANGLES_AND_TORSIONS,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,FOUR_ATOM_BRIDGE,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,PLANARITY_OR_IMPROPERS,CANDIDATE,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,HBN_WATER_NONBONDED,PARTIAL,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,CURVATURE_DEPENDENT_WATER_INTERACTION,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,POLARIZATION,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0001,RAJAN_HBN_CLASSICAL_FF,AQUEOUS_STABILITY,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,B_N_BONDED_BULK,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,B_N_BONDED_CURVED_BNNT,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,B_H_BONDED,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,N_H_BONDED,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,EDGE_ANGLES_AND_TORSIONS,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,FOUR_ATOM_BRIDGE,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,PLANARITY_OR_IMPROPERS,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,HBN_WATER_NONBONDED,STRONG_CANDIDATE,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,CURVATURE_DEPENDENT_WATER_INTERACTION,NOT_COVERED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,POLARIZATION,UNASSESSED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
SRC_0002,WU_HBN_WATER,AQUEOUS_STABILITY,CONTACT_ANGLE_VALIDATED,ABSTRACT_OR_ARTICLE_TEXT_CONFIRMED,False,False
