source_id,DOI,artifact_type,retrieval_status,local_file,sha256,license_or_access_notes,required_for_final_coverage_decision
SRC_0001,10.1021/acs.jpclett.7b03443,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0001,10.1021/acs.jpclett.7b03443,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0001,10.1021/acs.jpclett.7b03443,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0002,10.1063/1.4947094,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0002,10.1063/1.4947094,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0002,10.1063/1.4947094,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0003,10.1063/1.1999628,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0003,10.1063/1.1999628,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0003,10.1063/1.1999628,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0004,10.1063/5.0242541,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0004,10.1063/5.0242541,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0004,10.1063/5.0242541,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0005,10.1021/acs.jpcc.0c05831,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0005,10.1021/acs.jpcc.0c05831,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0005,10.1021/acs.jpcc.0c05831,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0006,10.1021/acs.langmuir.3c01612,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0006,10.1021/acs.langmuir.3c01612,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0006,10.1021/acs.langmuir.3c01612,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0007,10.1021/acsnano.3c09811,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0007,10.1021/acsnano.3c09811,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0007,10.1021/acsnano.3c09811,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0008,10.1021/acsanm.2c05285,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0008,10.1021/acsanm.2c05285,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0008,10.1021/acsanm.2c05285,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
SRC_0009,10.1063/1.3626065,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True
SRC_0009,10.1063/1.3626065,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True
SRC_0009,10.1063/1.3626065,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True
