dataset,block,start_ps,end_ps,frame_count,occupancy_mean,occupancy_std,occupancy_min,occupancy_max,density_mean_nm-3
frozen,1,0.0,10.0,20,432.3,2.758622844826744,426.0,437.0,15.902470472706693
frozen,2,10.0,20.0,20,416.9,11.536463929644992,395.0,432.0,15.335970252304927
frozen,3,20.0,30.0,20,393.45,2.5975950415721076,388.0,398.0,14.473344916693147
frozen,4,30.0,40.0,20,373.5,11.573677030226824,355.0,393.0,13.739469631172682
frozen,5,40.0,50.0,20,340.75,10.931033802893484,321.0,357.0,12.534737019603991
frozen,6,50.0,60.0,20,299.1,13.003461077728497,272.0,322.0,11.0026114235174
frozen,7,60.0,70.0,20,234.55,18.394224637097373,197.0,264.0,8.628092642547664
frozen,8,70.0,80.0,20,180.65,16.032077220372912,150.0,205.0,6.645341871141485
frozen,9,80.0,90.0,20,114.35,18.974390635801722,89.0,150.0,4.206448065126094
frozen,10,90.0,100.0,21,45.285714285714285,15.958705214046768,23.0,80.0,1.6658679950589943
mobile,1,0.0,10.0,20,0.7,1.0049875621120887,0.0,3.0,0.025098998250162784
mobile,2,10.0,20.0,20,1.1,0.7681145747868608,0.0,2.0,0.03936582036033085
mobile,3,20.0,30.0,20,0.6,0.48989794855663565,0.0,1.0,0.021490654567373164
mobile,4,30.0,40.0,20,1.7,1.345362404707371,0.0,5.0,0.06083334386890763
mobile,5,40.0,50.0,20,1.85,1.6209565077447328,0.0,7.0,0.0661491971686867
mobile,6,50.0,60.0,20,6.05,2.71062723368596,2.0,11.0,0.2168321615351933
mobile,7,60.0,70.0,20,2.25,1.6393596310755,0.0,5.0,0.08063730472035843
mobile,8,70.0,80.0,20,3.4,1.9078784028338913,1.0,8.0,0.1218412322696911
mobile,9,80.0,90.0,20,1.5,1.6881943016134133,0.0,5.0,0.05365469844380834
mobile,10,90.0,100.0,21,0.0,0.0,0.0,0.0,0.0
