source_id,DOI,artifact_type,retrieval_status,local_file,sha256,license_or_access_notes,required_for_final_coverage_decision,model_name,retrieval_priority,priority_group,automatic_parameter_adoption_authorized
SRC_0004,10.1063/5.0242541,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,GHORAI_FUNCTIONALIZED_HBN,10,P1_IMMEDIATE,False
SRC_0004,10.1063/5.0242541,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,GHORAI_FUNCTIONALIZED_HBN,11,P1_IMMEDIATE,False
SRC_0004,10.1063/5.0242541,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,GHORAI_FUNCTIONALIZED_HBN,12,P1_IMMEDIATE,False
SRC_0010,10.1021/acs.jpca.1c09648,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,LELE_GAS_PHASE_HBN_REAXFF,20,P1_IMMEDIATE,False
SRC_0010,10.1021/acs.jpca.1c09648,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,LELE_GAS_PHASE_HBN_REAXFF,21,P1_IMMEDIATE,False
SRC_0010,10.1021/acs.jpca.1c09648,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,LELE_GAS_PHASE_HBN_REAXFF,22,P1_IMMEDIATE,False
SRC_0008,10.1021/acsanm.2c05285,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,IFF_R_BNNT,30,P1_IMMEDIATE,False
SRC_0008,10.1021/acsanm.2c05285,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,IFF_R_BNNT,31,P1_IMMEDIATE,False
SRC_0008,10.1021/acsanm.2c05285,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,IFF_R_BNNT,32,P1_IMMEDIATE,False
SRC_0001,10.1021/acs.jpclett.7b03443,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,RAJAN_HBN_CLASSICAL_FF,40,P1_IMMEDIATE,False
SRC_0001,10.1021/acs.jpclett.7b03443,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,RAJAN_HBN_CLASSICAL_FF,41,P1_IMMEDIATE,False
SRC_0001,10.1021/acs.jpclett.7b03443,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,RAJAN_HBN_CLASSICAL_FF,42,P1_IMMEDIATE,False
SRC_0002,10.1063/1.4947094,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,WU_HBN_WATER,50,P2_INTERFACE_REFERENCE,False
SRC_0002,10.1063/1.4947094,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,WU_HBN_WATER,51,P2_INTERFACE_REFERENCE,False
SRC_0002,10.1063/1.4947094,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,WU_HBN_WATER,52,P2_INTERFACE_REFERENCE,False
SRC_0006,10.1021/acs.langmuir.3c01612,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,FENG_ANISOTROPIC_HBN_WATER,60,P2_INTERFACE_REFERENCE,False
SRC_0006,10.1021/acs.langmuir.3c01612,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,FENG_ANISOTROPIC_HBN_WATER,61,P2_INTERFACE_REFERENCE,False
SRC_0006,10.1021/acs.langmuir.3c01612,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,FENG_ANISOTROPIC_HBN_WATER,62,P2_INTERFACE_REFERENCE,False
SRC_0007,10.1021/acsnano.3c09811,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,Luo_DRUDE_HBN_WATER,70,P2_INTERFACE_REFERENCE,False
SRC_0007,10.1021/acsnano.3c09811,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,Luo_DRUDE_HBN_WATER,71,P2_INTERFACE_REFERENCE,False
SRC_0007,10.1021/acsnano.3c09811,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,Luo_DRUDE_HBN_WATER,72,P2_INTERFACE_REFERENCE,False
SRC_0005,10.1021/acs.jpcc.0c05831,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,HBN_GAP,80,P3_SECONDARY_REFERENCE,False
SRC_0005,10.1021/acs.jpcc.0c05831,SUPPORTING_INFORMATION,NOT_YET_RETRIEVED,,,,True,HBN_GAP,81,P3_SECONDARY_REFERENCE,False
SRC_0005,10.1021/acs.jpcc.0c05831,FULL_ARTICLE,NOT_YET_RETRIEVED,,,,True,HBN_GAP,82,P3_SECONDARY_REFERENCE,False
SRC_0009,10.1063/1.3626065,PARAMETER_FILE_OR_REPOSITORY,NOT_YET_RETRIEVED,,,,True,BNNT_TERSOFF_FORCE_MATCHED,90,P3_SECONDARY_REFERENCE,False
