cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,6349,0,1,B,35.0,60.6218,-25.4237
2,6636,0,1,B,40.1504,57.3406,-22.0339
3,6637,0,2,N,35.0,60.6218,-22.0339
4,6638,0,1,B,29.5833,63.4415,-22.0339
5,6924,0,2,N,40.1504,57.3406,-18.6441
6,6925,0,1,B,35.0,60.6218,-18.6441
7,6926,0,2,N,29.5833,63.4415,-18.6441
8,7213,0,2,N,35.0,60.6218,-15.2542
9,41572,9098,3,O,32.4799,62.8953,-18.7803
10,41573,9098,4,H,31.7415,63.5022,-18.8329
11,41574,9098,4,H,32.2215,62.2604,-18.1121
12,60499,15407,3,O,32.2285,60.7745,-16.3375
13,60500,15407,4,H,31.8641,59.9244,-16.0909
14,60501,15407,4,H,32.952,60.912,-15.726
15,107287,31004,5,X,33.0,57.1577,-21.0
16,107288,31004,6,X,33.0,57.1577,-19.0
