cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,6349,0,1,B,35.0,60.6218,-25.4237
2,6636,0,1,B,40.1504,57.3406,-22.0339
3,6637,0,2,N,35.0,60.6218,-22.0339
4,6638,0,1,B,29.5833,63.4415,-22.0339
5,6924,0,2,N,40.1504,57.3406,-18.6441
6,6925,0,1,B,35.0,60.6218,-18.6441
7,6926,0,2,N,29.5833,63.4415,-18.6441
8,7213,0,2,N,35.0,60.6218,-15.2542
9,79831,21851,3,O,32.7547,51.4059,-22.1217
10,79832,21851,4,H,32.6743,51.3406,-23.0733
11,79833,21851,4,H,33.3807,52.1164,-21.9819
12,107287,31004,5,X,33.0,57.1577,-21.0
13,107288,31004,6,X,33.0,57.1577,-19.0
