cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,6349,0,1,B,35.0,60.6218,-25.4237
2,6636,0,1,B,40.1504,57.3406,-22.0339
3,6637,0,2,N,35.0,60.6218,-22.0339
4,6638,0,1,B,29.5833,63.4415,-22.0339
5,6924,0,2,N,40.1504,57.3406,-18.6441
6,6925,0,1,B,35.0,60.6218,-18.6441
7,6926,0,2,N,29.5833,63.4415,-18.6441
8,7213,0,2,N,35.0,60.6218,-15.2542
9,41572,9098,3,O,32.0864,62.1491,-19.6131
10,41573,9098,4,H,31.267,62.4526,-19.2221
11,41574,9098,4,H,32.7241,62.1962,-18.9008
12,60499,15407,3,O,32.9443,61.8342,-16.8073
13,60500,15407,4,H,33.7791,61.724,-16.3522
14,60501,15407,4,H,32.2949,61.893,-16.1066
15,79831,21851,3,O,31.6905,52.0885,-22.6651
16,79832,21851,4,H,31.1408,52.2325,-23.4354
17,79833,21851,4,H,31.9768,52.9648,-22.4073
18,107287,31004,5,X,33.0,57.1577,-21.0
19,107288,31004,6,X,33.0,57.1577,-19.0
